summonerName,count,win,winRate,totalDamageDealt,damageDealtToObjectives,totalDamageDealtToChampions,damageDealtToTurrets,inhibitorKills,firstTowerKill,turretKills,goldEarned,goldSpent,champLevel,totalMinionsKilled,firstBloodKill,firstInhibitorKill,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,neutralMinionsKilled,visionScore,wardsPlaced,wardsKilled,kda
K tune,3,1.0,0.3333333333333333,28996.666666666668,3397.3333333333335,9933.333333333334,260.3333333333333,0.0,0.0,0.6666666666666666,8436.0,7758.333333333333,13.333333333333334,38.666666666666664,0.0,0.0,0.0,0.0,0.0,84.66666666666667,49.333333333333336,13.0,3.265151515151515
KT Bonnie,29,18.0,0.6206896551724138,170071.0344827586,27388.96551724138,17480.58620689655,2837.3793103448274,0.27586206896551724,0.20689655172413793,1.4827586206896552,12129.344827586207,11277.551724137931,14.827586206896552,51.827586206896555,0.1724137931034483,0.06896551724137931,81.96551724137932,12.379310344827585,128.41379310344828,33.86206896551724,7.482758620689655,7.655172413793103,6.803544061302682
KT Castle,23,14.0,0.6086956521739131,119848.21739130435,6952.95652173913,19027.652173913044,3023.913043478261,0.34782608695652173,0.13043478260869565,1.434782608695652,10962.782608695652,10444.565217391304,14.695652173913043,168.17391304347825,0.08695652173913043,0.17391304347826086,4.608695652173913,2.0,9.869565217391305,22.304347826086957,9.130434782608695,3.4347826086956523,4.0114906832298125
KT H4rp,38,15.0,0.39473684210526316,50115.97368421053,2754.657894736842,12239.526315789473,1078.921052631579,0.02631578947368421,0.02631578947368421,0.34210526315789475,8686.052631578947,8038.3421052631575,11.868421052631579,58.39473684210526,0.10526315789473684,0.0,2.1842105263157894,1.2105263157894737,4.2631578947368425,57.0,29.789473684210527,8.605263157894736,2.922921888053467
KT Rebel,16,11.0,0.6875,21859.875,1598.6875,6274.8125,820.6875,0.0,0.0,0.375,7553.0625,6598.125,12.25,30.875,0.0,0.0,0.0,0.0,0.0,57.875,32.3125,6.6875,6.302678571428572
KT Ucal,29,14.0,0.4827586206896552,150353.6896551724,7669.448275862069,20798.379310344826,1973.8620689655172,0.06896551724137931,0.034482758620689655,0.7931034482758621,12570.206896551725,11834.48275862069,15.310344827586206,195.41379310344828,0.10344827586206896,0.034482758620689655,14.862068965517242,2.7241379310344827,22.20689655172414,26.586206896551722,8.379310344827585,6.0344827586206895,3.429037916106882
KT VicLa,22,14.0,0.6363636363636364,128260.59090909091,4353.636363636364,18482.136363636364,2070.2272727272725,0.0,0.045454545454545456,1.1363636363636365,11567.136363636364,10993.318181818182,15.181818181818182,193.5909090909091,0.09090909090909091,0.0,4.318181818181818,1.1818181818181819,6.590909090909091,30.772727272727273,16.0,4.5,3.9568722943722943
KTB SUP,15,5.0,0.3333333333333333,32024.0,1382.9333333333334,10408.533333333333,668.9333333333333,0.13333333333333333,0.0,0.2,8176.933333333333,7261.666666666667,12.933333333333334,36.53333333333333,0.0,0.06666666666666667,0.06666666666666667,0.2,0.6,65.53333333333333,34.46666666666667,8.066666666666666,5.169814814814815
KanaGL,3,2.0,0.6666666666666666,40351.333333333336,3544.0,9334.333333333334,555.3333333333334,0.0,0.0,0.0,7984.666666666667,7495.0,12.666666666666666,45.333333333333336,0.3333333333333333,0.0,0.0,0.0,0.0,68.0,39.666666666666664,11.333333333333334,2.4388888888888887
Kanavi,12,7.0,0.5833333333333334,165562.58333333334,16439.25,22817.916666666668,3424.9166666666665,0.3333333333333333,0.08333333333333333,1.1666666666666667,12311.583333333334,11165.5,14.0,116.25,0.16666666666666666,0.08333333333333333,49.166666666666664,15.5,85.58333333333333,21.666666666666668,4.416666666666667,6.0,4.366269841269841
Karasss,27,15.0,0.5555555555555556,28188.777777777777,1501.962962962963,8611.518518518518,602.9629629629629,0.0,0.0,0.25925925925925924,7550.2962962962965,6734.074074074074,11.592592592592593,36.7037037037037,0.037037037037037035,0.0,0.25925925925925924,0.2222222222222222,0.6296296296296297,51.407407407407405,29.51851851851852,6.185185185185185,4.216011971567526
Keqing,3,2.0,0.6666666666666666,83589.66666666667,2633.6666666666665,12380.0,2351.6666666666665,0.0,0.0,1.0,7523.666666666667,6127.666666666667,12.0,129.33333333333334,0.0,0.0,3.0,3.3333333333333335,8.666666666666666,8.0,6.333333333333333,0.3333333333333333,1.7777777777777777
Keria3,2,1.0,0.5,29317.0,682.5,8604.0,387.5,0.0,0.0,0.0,6653.0,5975.0,12.0,34.5,0.0,0.0,0.0,0.0,0.0,67.0,37.5,7.5,2.638888888888889
Kim Sang Hoon,18,5.0,0.2777777777777778,28131.777777777777,1206.0,8188.611111111111,258.22222222222223,0.05555555555555555,0.0,0.2222222222222222,6857.777777777777,6186.388888888889,11.055555555555555,38.5,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,53.44444444444444,29.77777777777778,5.944444444444445,3.461072569405902
L1sure,18,9.0,0.5,145509.66666666666,16692.444444444445,16497.222222222223,1486.0,0.05555555555555555,0.05555555555555555,0.5,10674.666666666666,9636.444444444445,14.166666666666666,89.5,0.1111111111111111,0.0,52.44444444444444,10.555555555555555,85.94444444444444,34.05555555555556,9.944444444444445,7.388888888888889,6.232231040564375
