championId,count,win,kills,deaths,assists,winRate,kda,totalMinionsKilled,goldEarned
98,1894,991,6916,8865,21263,0.5232312565997888,3.178680203045685,116.84846884899683,9317.636219640972
54,1824,966,7396,8961,14966,0.5296052631578947,2.49548041513224,147.71820175438597,9659.861842105263
421,1773,883,12656,9777,13741,0.49802594472645234,2.6999079472230747,22.390862944162436,10772.113931190073
24,1768,767,8804,10385,7846,0.4338235294117647,1.6032739528165623,169.06165158371041,10994.266968325792
497,1691,776,2837,8478,23562,0.45890005913660553,3.1138240150979004,27.52395032525133,7272.898285038439
121,1659,765,13128,9148,10651,0.46112115732368897,2.59936598163533,27.199517781796263,11090.227245328511
2,1656,895,12608,8648,12384,0.5404589371980676,2.889916743755782,39.48067632850242,11511.140096618357
163,1631,873,12877,9916,16383,0.5352544451256898,2.9507866075030256,54.537093807480076,11935.540159411405
432,1617,847,3158,7685,23805,0.5238095238095238,3.508523096942095,33.72418058132344,7704.218923933209
117,1586,786,3488,7069,18169,0.49558638083228246,3.063658226057434,98.875157629256,8299.894703656999
39,1570,777,9289,10506,8684,0.4949044585987261,1.7107367218732152,197.24012738853503,11656.55796178344
79,1390,658,5919,8218,13931,0.47338129496402875,2.415429544901436,78.14388489208633,9403.325179856116
134,1348,701,7068,6906,9360,0.5200296735905044,2.378801042571677,189.14614243323442,11162.785608308606
777,1334,624,7534,7671,7557,0.46776611694152925,1.9672793638378308,177.22713643178412,11247.197901049476
85,1325,676,6720,7394,8991,0.510188679245283,2.1248309440086555,174.96301886792452,11157.319245283019
8,1289,589,6335,6174,7018,0.4569433669511249,2.162779397473275,184.90923196276182,10841.667959658651
51,1191,622,7274,6187,8818,0.5222502099076406,2.600937449490868,205.24601175482786,12440.83543240974
114,1188,607,6569,6741,5150,0.5109427609427609,1.7384661029520843,179.7053872053872,11366.249158249158
555,1155,551,6976,7708,9966,0.47705627705627707,2.1979761286974573,42.266666666666666,10162.812987012987
235,1131,513,4475,5968,13393,0.4535809018567639,2.9939678284182305,139.48275862068965,10287.916003536693
111,1089,503,2017,6763,13259,0.46189164370982555,2.25876090492385,34.129476584022036,7219.429752066116
60,1076,564,7472,5552,8746,0.5241635687732342,2.9211095100864553,25.479553903345725,10508.338289962825
30,1051,519,7968,6395,9804,0.4938154138915319,2.7790461297888975,48.26736441484301,11995.728829686013
516,983,474,3051,4752,8621,0.4821973550356053,2.4562289562289563,154.67853509664292,9539.719226856561
68,940,499,5060,5135,8195,0.5308510638297872,2.5813047711781887,138.85106382978722,10177.113829787235
41,935,428,4156,4869,6930,0.4577540106951872,2.276853563360033,195.6042780748663,12304.376470588235
246,932,514,7333,5528,6387,0.5515021459227468,2.4819102749638207,142.06437768240343,11119.929184549355
67,899,470,6073,5334,5204,0.5228031145717463,2.1141732283464565,178.0111234705228,11587.272525027809
147,876,371,2007,5274,10750,0.4235159817351598,2.418847174819871,36.18835616438356,7899.840182648401
4,858,431,3846,3996,7257,0.5023310023310024,2.7785285285285286,182.49067599067598,11520.925407925408
78,828,391,3313,4451,7257,0.4722222222222222,2.374747247809481,115.012077294686,9666.985507246376
106,817,387,3474,4059,6360,0.47368421052631576,2.4227642276422765,99.5422276621787,9792.086903304773
157,815,422,4986,4676,5321,0.5177914110429448,2.204234388366125,186.33374233128833,11737.164417177913
62,778,412,4041,4198,4823,0.5295629820051414,2.1114816579323485,169.2210796915167,11125.678663239074
43,750,321,1472,4053,9091,0.428,2.606217616580311,35.617333333333335,7591.961333333334
25,735,364,1586,4202,10506,0.49523809523809526,2.877677296525464,26.40544217687075,7798.608163265306
