championId,count,win,kills,deaths,assists,winRate,kda,totalMinionsKilled,goldEarned
39,341,168,1885,2363,1865,0.49266862170087977,1.5869657215404147,188.6041055718475,11098.41055718475
777,333,145,1803,1933,1769,0.43543543543543545,1.8479048111743404,172.45645645645646,10888.771771771771
114,311,173,1632,1633,1407,0.5562700964630225,1.8609920391916717,173.2508038585209,10973.18649517685
79,299,149,1309,1748,3010,0.4983277591973244,2.470823798627002,83.52173913043478,9704.565217391304
60,295,164,1980,1464,2387,0.5559322033898305,2.9829234972677594,25.11186440677966,10419.33559322034
111,285,139,527,1704,3560,0.48771929824561405,2.398474178403756,34.37894736842105,7198.224561403509
85,278,151,1321,1539,1938,0.5431654676258992,2.1176088369070825,170.13669064748203,10707.557553956834
30,276,131,2094,1618,2404,0.4746376811594203,2.779975278121137,46.608695652173914,11882.014492753624
8,275,133,1288,1242,1474,0.48363636363636364,2.2238325281803544,182.56727272727272,10685.076363636364
67,268,139,1763,1617,1592,0.5186567164179104,2.074829931972789,168.38432835820896,11175.921641791045
516,267,138,833,1244,2426,0.5168539325842697,2.619774919614148,153.61048689138576,9541.19850187266
51,264,129,1598,1304,1838,0.48863636363636365,2.6349693251533743,206.75378787878788,12347.882575757576
235,252,132,1072,1222,2995,0.5238095238095238,3.328150572831424,134.98015873015873,10149.912698412698
68,233,127,1268,1249,2043,0.5450643776824035,2.6509207365892715,136.77682403433477,10043.81974248927
41,227,105,1044,1205,1592,0.46255506607929514,2.1875518672199172,191.80616740088107,12058.581497797357
246,224,109,1712,1433,1514,0.48660714285714285,2.2512212142358687,143.69642857142858,11051.95982142857
147,220,97,481,1251,2722,0.4409090909090909,2.5603517186251,39.67272727272727,7886.895454545454
62,210,107,1080,1197,1324,0.5095238095238095,2.008354218880535,162.2047619047619,10914.466666666667
4,204,93,991,928,1710,0.45588235294117646,2.9105603448275863,181.30392156862746,11528.872549019608
78,198,91,798,1028,1662,0.4595959595959596,2.3929961089494163,115.46969696969697,9481.4898989899
7,197,114,1301,863,1338,0.5786802030456852,3.0579374275782154,158.37563451776649,10724.126903553299
43,197,92,407,1048,2506,0.467005076142132,2.779580152671756,35.223350253807105,7638.761421319797
25,191,87,400,1072,2585,0.45549738219895286,2.7845149253731343,26.445026178010473,7705.801047120419
106,190,94,830,890,1362,0.49473684210526314,2.4629213483146066,97.48421052631579,9777.831578947369
154,172,71,700,769,1704,0.4127906976744186,3.126137841352406,79.11046511627907,9615.372093023256
157,170,76,1040,1010,978,0.4470588235294118,1.998019801980198,189.16470588235293,11796.764705882353
20,166,87,779,704,1977,0.5240963855421686,3.914772727272727,35.8433734939759,10024.463855421687
